MSA_Short_Name,Population,Hospitals,Beds,Confirmed,Deaths,New_Cases_Per_Bed,New_Cases_Per_Day_As_Text
Sarasota,836995,12,2424,258,10,0.0404290429042904,8   6   7  11   8  10   5  17  29  11  59  29  30
"Columbus, IN",83779,1,198,45,0,0.0404040404040404,0   0   0   1   0   1   3   0   3   0   2   8  22
"Charleston, WV",257074,10,1065,61,1,0.0403755868544601,0   1   1   3  11   3   3   5   9   8   2   1  10
"Sebring-Avon Park, FL",106221,3,323,30,2,0.0402476780185759,1  2  0  1  0  5  0  3  4  0  7  2  4
"Daphne-Fairhope-Foley, AL",223234,4,398,29,1,0.0402010050251256,1  1  0  1  0  5  5  3  1  1  4  4  1
"Dalton, GA",144724,2,324,25,1,0.0401234567901235,0  0  2  1  1  2  3 -1  4  1  6  1  3
"Bismarck, ND",128949,3,551,51,1,0.0399274047186933,1  2  1  4  6  5  1  2  0  3  0  2  2
"Bloomington, IL",171517,2,277,40,2,0.0397111913357401,1   0   0   1   2   0   4   3   2  -1  14   3   5
"Anchorage, AK",396317,10,1293,85,1,0.0394431554524362,8   4   0  11   2  15  11   5   3   4   3   6   8
"Longview, WA",110593,2,279,18,0,0.039426523297491,0  0  0  4  0  3  0  4  0  0  4  0  0
Honolulu,974563,17,2536,266,3,0.0390378548895899,0  17   0  10   8  32   0  15  16  18  25  55  29
"Winston-Salem, NC",676008,12,2498,166,3,0.0388310648518815,1   3   1   3  16  16   4   6  14  37   8  31  12
Richmond,1370148,24,4657,476,2,0.0386514923770668,14    7   11    5   13   13   18   24   50   46   54   83  117
"Crestview-Fort Walton Beach-Destin, FL",284809,8,858,80,1,0.0384615384615385,5   1   4   6   2   6   4   4   7   0  13   3   7
Kansas City,2157990,58,8791,617,18,0.038220907746559,15  17  24  43  33  31  40  50  67  48  59  45  82
"Port St. Lucie, FL",489297,11,1544,129,3,0.0382124352331606,4   1   2   6  12  16   3   7  10   3  13  20  27
Austin,2227083,60,6241,564,5,0.0379746835443038,22    8   23   28   50   22   25   10   65   14  122   14   83
"Wichita, KS",640218,19,1637,109,1,0.0378741600488699,0   5   4   6   5  13   9   7   9   9  17   7  13
"Charlottesville, VA",218615,5,899,57,1,0.0378197997775306,0   2   3   7   5  10   1   3   3   2   4   4   6
"Billings, MT",181667,5,663,39,0,0.0377073906485671,0  1  5  2  6  3  3  0  5  1  4  1  2
"Winchester, VA-WV",140566,3,532,34,0,0.037593984962406,0  0  2  0  2  0  5  4  2  5  1  8  5
"Harrisburg-Carlisle, PA",577941,13,2155,158,4,0.0375870069605568,1   4   6   5   6  12  12   3  21  16  13  17  30
Vallejo,447643,7,749,73,1,0.0373831775700935,1   7   3   7   3   0   0   0   9   6   5   7  12
"Madera, CA",157327,2,462,28,1,0.0367965367965368,0  3  0  1  3  1  4  3  3  2  2  3  0
"Merced, CA",277680,3,246,16,0,0.0365853658536585,1  0  1  0  2  3  1  1  1  0  2  4  0
Daytona Beach,668365,10,2141,163,3,0.0364315740308267,4   3   3  11  14   7   3  18  20   2  27  26  10
"Muskegon, MI",173566,3,413,31,2,0.036319612590799,1  2  0  0  3  1  6  5  0  0  8  4  1
"Sebastian-Vero Beach, FL",159923,4,612,50,0,0.0359477124183007,2  1  1  1  1  2  1  7  9  0  8  6  3
"Lawton, OK",126415,5,615,41,0,0.0357723577235772,0  0  0  3  3  0  5  2  3  6  6  9  4
Lakeland,724777,6,1793,142,4,0.0351366424986057,2   0   1   3   9   8   5  16  18   3  27  23  16
"Jackson, MS",594806,24,4954,326,3,0.035123132821962,7  18  19  14  21  18  21   0  41  40  17  49  13
"Brunswick, GA",118779,2,401,29,0,0.0349127182044888,1  1  0  0  1  1  1  2  8  1  2  4  4
"Medford, OR",220944,3,545,27,0,0.0348623853211009,0   1   1   0   2   2  11   1   1   1   5   0   0
"Decatur, AL",152603,5,574,28,0,0.0348432055749129,0  2  3  7 -1  7  2  0  3 -1  2  4  0
Tampa,3194831,54,11377,969,14,0.0342796870879845,23   21   25   53   43   53   49   59   98   10  231  119   73
"Hot Springs, AR",99386,6,646,40,0,0.0340557275541796,6  1  6  2  2  0  5  1  5  1  5  0  3
"Dubuque, IA",97311,3,470,24,1,0.0340425531914894,2  0  0  0  2  4  4  5  0  1  0  1  1
"Kalamazoo-Portage, MI",265066,2,821,45,3,0.0328867235079172,3  0  2  5  1  4  4  5  0  6  4  6  5
"Fayetteville-Springdale-Rogers, AR",534904,16,1673,67,0,0.0328750747160789,3   0   1  21   8   6   3   5   7   4   2   3   1
Minneapolis,3640043,40,8364,557,14,0.0324007651841224,58  24  14  31  35  33  39  53  32  34  32  26  30
"Cleveland, TN",124942,3,373,24,0,0.032171581769437,-1  1  1  2  1 -1  3  0  2  4  5  4  1
"Racine, WI",196311,4,715,41,0,0.0321678321678322,1  0  2  1  1  7  1  4  5  2  7  6  0
Knoxville,869046,21,3418,171,1,0.0315974253949678,8   5   8  10  10   8   9  19  29  15  20  11   8
"Sioux Falls, SD",268232,14,1535,107,0,0.0306188925081433,1   0   9   4   2   4   6   3   4  15  21  17  15
"Valdosta, GA",147292,5,525,41,1,0.0304761904761905,0  2  1  1  4  4  1  0  2  3  3  5  7
"Gainesville, FL",329128,7,1805,118,0,0.0304709141274238,1   1   8   4   8  11   5   8   8   3   5  15   6
"Morgantown, WV",139044,5,990,45,0,0.0303030303030303,0   3  12   3   5  -1   6   3   1   1   3   1   6
"Homosassa Springs, FL",149657,2,332,34,2,0.0301204819277108,1  0  0  2  0  3  1  2  2  0  8  1  6
"Fayetteville, NC",526719,8,1036,76,1,0.0299227799227799,1   3   5   1   0   0   9   2   8   6   7  10  13
"Springfield, MO",470300,10,1488,83,7,0.0295698924731183,7   2   3   3   7  14   5   7   2   3   3   0  15
"Harrisonburg, VA",134964,2,508,37,0,0.0295275590551181,0  1  1  1  3  0  0  2  0  8  7  7  4
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",496901,8,987,87,5,0.0293819655521783,7   5   1   1   4   5   3   3   7   5  15   1  13
"Watertown-Fort Drum, NY",109834,3,344,20,0,0.0290697674418605,0  1  0  2  0  2  1  4  0  1  3  3  2
"Twin Falls, ID",111290,3,278,44,1,0.0287769784172662,0   0   0   0   2  -1   0   1   4   2  29   2   4
"Casper, WY",79858,6,454,23,0,0.0286343612334802,0  1  2  2  2  0  0  2  2  3  4  2  2
"Fond du Lac, WI",103403,4,214,30,2,0.0280373831775701,0  2  0 -1  1  2  0  1  1  2  4  2  0
"Rochester, MN",221921,4,2145,113,2,0.027972027972028,5   3   5  11   5   6  12   8   3  10   6  10  12
"Hattiesburg, MS",168849,6,863,64,1,0.0278099652375435,1   4   1   3   1   3   1   0   5  10   2  11  10
"Salinas, CA",434061,4,793,57,2,0.0277427490542245,3  6  4  0  0  8  4  0  4  2  6  5  4
"Augusta-Richmond County, GA-SC",608980,16,3006,131,3,0.0272787757817698,1   3   2   3   9   5   4   1  50   8   9  16   4
"St. George, UT",177556,2,338,25,1,0.0266272189349112,5  0  0  3  1  4 -5  7 -1  0  4  5  2
"Cape Girardeau, MO-IL",96765,3,601,17,0,0.0266222961730449,0  0  3  1  2  0  0  8  2  0  0  0  1
"Mobile, AL",429536,8,1954,119,6,0.0266120777891505,0   4   4   9   5   6  13   4   7   4  11  38  11
"Montgomery, AL",373290,11,1520,96,1,0.0263157894736842,1   8   8   8   3   0   4   1   8   8  16  18   4
"Ocala, FL",365579,7,919,42,0,0.0261153427638738,1  0  1  0  3  9  3  3  2  3  5  5  4
"Chattanooga, TN-GA",565194,16,2155,99,10,0.0259860788863109,5  -4  18   5   0   7   3   0  17   6  17  10   6
"Wilmington, NC",297533,3,932,43,0,0.0257510729613734,0   6   0   4   1  10   0   2   7   0   8   1   0
Cincinnati,2221208,49,9417,548,18,0.0256982053732611,13   23   14   18   22   33   33   25   52   45   50   44  127
"Punta Gorda, FL",188910,4,823,46,1,0.0255164034021871,1   0   0   0   2   7   4   2   6   0  14   5   3
"Janesville-Beloit, WI",163354,4,564,20,1,0.024822695035461,0  0  1  4  4  0  2  1  1  1  2  1  0
"Fargo, ND-MN",246145,8,1416,61,1,0.0247175141242938,0   3   3   1   5   7   2   4  10   3  10   3   7
"Lafayette-West Lafayette, IN",233002,8,829,33,2,0.0241254523522316,0  1  1  4  1  4  1  4  0  5  0  7  3
"Michigan City-La Porte, IN",109888,2,377,19,2,0.0238726790450928,0  0  0  0  0  2  2  0  2  3  3  3  2
"Amarillo, TX",265053,10,1227,50,1,0.0236348818255909,2   1   0   0   2   0   5   0   7  15   0   9   6
"Topeka, KS",231969,7,931,33,2,0.0236305048335124,0  0  3  2  2  2  6  2  4  1  2  7  1
Greensboro,771851,10,2330,125,7,0.0236051502145923,1   7   6   2  12   4  11   5  10   5  21  15  15
"Logan, UT-ID",142165,3,170,16,0,0.0235294117647059,1  0 -3  0  0  5  0 -5  7  0  0  8  1
"Williamsport, PA",113299,4,302,10,0,0.0231788079470199,0  0  1  0  1  0  1  1  2  1  0  1  2
"Greenville, NC",180742,1,909,35,0,0.0231023102310231,3  0  0  2  0  2  5  5  7  0  2  4  2
"Santa Rosa-Petaluma, CA",494336,12,2148,105,2,0.0228119180633147,7   0   5   3   7   6   8   0  15   5  13   4  10
"Midland, MI",83156,1,308,17,0,0.0227272727272727,0  0  1  0  2  0  0  1  1  2  3  1  1
"Tuscaloosa, AL",252047,10,1279,63,0,0.0226739640344019,2   1   6   4   3   3   2   2   7   2   9  11   4
"Canton-Massillon, OH",397520,8,1817,100,5,0.0225646670335718,3   2   0   3   6   3   5  16   1   7  15   5  23
"Clarksville, TN-KY",307820,6,1158,70,1,0.0224525043177893,1   3   0   0   3   2   6   0   7   8  10   4  22
"San Luis Obispo-Paso Robles, CA",283111,6,1747,93,0,0.021751574127075,0  15   4   8   5   8   0   4   9   0   9   4   0
"Atlantic City-Hammonton, NJ",263670,9,1573,98,1,0.0216147488874762,1   0   6  -2   4   3   7   5   2   9  10  22  26
"Davenport-Moline-Rock Island, IA-IL",379172,10,1822,75,0,0.0214050493962678,0   0   4   4   2   4   1   9   5  10  10  12  12
"La Crosse-Onalaska, WI-MN",136616,2,656,19,0,0.0213414634146341,0  0  5  2  2  1  0  1  3  0  0  0  0
"Killeen-Temple, TX",460303,12,1372,63,1,0.0211370262390671,6  2  2  1  5  3  0  8  8  2  5  2  9
"Fort Wayne, IN",413263,13,1665,64,2,0.021021021021021,0   3   0   1  13   3   3   2   3  10   7  13   2
"Weirton-Steubenville, WV-OH",116074,6,811,20,0,0.0209617755856967,0  0  0  2 -1  5  2  2  4  3  1  3 -1
"Savannah, GA",393353,11,1819,86,4,0.0208905992303463,0   5   1   3   3   7   1   1  10  12  11  16  10
"Bay City, MI",103126,3,389,24,0,0.0205655526992288,1  0  1  1  0  0  1  4  0  1  6  2  6
"Yuma, AZ",213787,3,487,14,0,0.0205338809034908,1  0  1  1  0  0  1  1  3  3  1  0  1
"Bloomsburg-Berwick, PA",83194,6,829,39,0,0.0205066344993969,0  2  1  2  0  2  1  6  0  5  5  5  8
Omaha,949442,27,4784,201,1,0.0204849498327759,0  13   4   4   7   9   6  24  25  19  19  13  13
"Eugene-Springfield, OR",382067,6,685,21,1,0.0204379562043796,0  0  1  2  3 -1  1  2  4  2  3  0  0
"Wheeling, WV-OH",138948,9,1077,32,0,0.0204271123491179,0  0  1  2  3  7  1  3  2  3  0  3  3
"Lynchburg, VA",263566,3,738,22,0,0.0203252032520325,0  0  4  0  0  1  1  1  2  6  3  0  2
"Beaumont-Port Arthur, TX",392563,16,1870,51,2,0.0203208556149733,4   0   0   1   3   6   7   6   3  12   5  10 -11
"Appleton, WI",237974,4,542,22,0,0.0202952029520295,0  0  2  0  0  0  2  3  3  1  3  5  0
"Missoula, MT",119600,2,404,18,1,0.0198019801980198,0  3  0  1  1  1  2  1  2  0  3  0  1
Dayton,807611,21,3904,149,12,0.0197233606557377,6   7   4   1  17   7  10   9  15  14  10  13  17
"Macon-Bibb County, GA",229996,9,1319,51,1,0.0197119029567854,1  4  4  2  3  1  2  2  7  5  3  9  5
"Midland, TX",182603,7,712,23,1,0.0196629213483146,0  2  1  3  1  4  1  1  3  0  0  6  0
Little Rock,742384,26,4135,218,3,0.0195888754534462,70   7  23   7   8   6   4   2  18  13  13  29  10
"Eau Claire, WI",169304,5,879,30,0,0.0193401592718999,0  0  1  1  3  1  3  3  2  3  3  5  0
"Evansville, IN-KY",315086,11,1716,58,0,0.0192307692307692,0   1  -1   7   2   9  10   0   4   2   3  13   5
"Rocky Mount, NC",145770,3,520,23,0,0.0192307692307692,0  3  0  0  0  1  0  0  7  2  1  5  3
San Antonio,2550960,56,8867,409,11,0.0190594338558701,13  16   3  23  32  15  18  22  14  42  31  32  95
"Waco, TX",273920,6,1051,51,1,0.0190294957183635,1  8  0  4  5  1  0  2  3  5  4  1  1
"Walla Walla, WA",60760,3,316,8,0,0.0189873417721519,0  0  1  0  0  2  1  1  0  1  1  0  0
"El Paso, TX",844124,17,2543,103,0,0.0184821077467558,2   1   6  12   0  10   4  -2  13   4  18  10  18
"Bowling Green, KY",179240,5,758,26,0,0.0184696569920844,2  0  2  0  0  0  5  3  4  0  0  0  8
"Hickory-Lenoir-Morganton, NC",369711,6,1194,42,2,0.0184254606365159,3  1  4  5  2  2  4  1  2  2  3  5  7
"Morristown, TN",142749,3,332,13,0,0.0180722891566265,2  0  0  0  1  0  0  0  1  4  0  0  1
"Florence-Muscle Shoals, AL",147970,3,721,21,2,0.0180305131761442,1  0  4  3  0  3  1  2  0  0  3  0  2
"McAllen-Edinburg-Mission, TX",868707,17,2446,86,0,0.017988552739166,0   0   5   2   2   7   9   1  10   8  16  17   7
"Victoria, TX",99742,6,723,33,0,0.0179806362378976,0  3  0  0  0  0  0  3  9  1  5  7  5
"Grand Junction, CO",154210,4,614,20,0,0.0179153094462541,3  0  0  1  0  3  2  1  2  2 -2  3  3
"Asheville, NC",462680,7,1469,58,2,0.0176991150442478,5  4  0  7  1  4  6  1  7  0  6  9  3
"Oshkosh-Neenah, WI",171907,5,795,24,0,0.0176100628930818,0  0  0  1  0  1  1  2  1  8  5  0  0
"Tyler, TX",232751,10,1337,57,1,0.0172026925953628,0   4   2   5   6   0   4   1   4   1   5  11   4
"Burlington, NC",169509,1,238,16,0,0.0168067226890756,0  1  0  1  1  0  1  1  0  0  6  1  2
"Lewiston-Auburn, ME",108277,2,483,20,0,0.0165631469979296,0  0  1  1  1  1  1  0  3  0  1  7  1
"Palm Bay-Melbourne-Titusville, FL",601942,11,1768,72,0,0.0164027149321267,0   2   2   2   3  10   2   3   6   1  11  13  10
"Sheboygan, WI",115340,2,370,20,1,0.0162162162162162,0  0  1  0  0  1  0  0  3  1  4  4  0
"Modesto, CA",550660,12,1729,58,0,0.0161943319838057,3  3  1  1  4  6  6  2  2  6  5  7  7
"Florence, SC",204911,9,1213,54,5,0.0156636438582028,4   3   0   0   6   1   4   2   4   2   9   3  10
"Anniston-Oxford, AL",113605,4,590,21,0,0.0152542372881356,1  0  0  0  1  0  0  5  1  2  1  6  3
Fresno,999101,15,3628,100,1,0.0151598676957001,0   7   5   1   8   4  12   0  10  15  14  12   6
"Columbus, GA-AL",321048,11,1651,51,0,0.0151423379769836,0   2   2   1   3   1   1   6  10   1   7  11   4
"Kingsport-Bristol, TN-VA",307202,10,1529,31,2,0.0150425114453891,1  0  1  3  4  0  3  0  7  5  2  3  1
"Terre Haute, IN",186367,7,616,20,2,0.0146103896103896,0  1  1  0  0  1  4  0  2  1  2  3  3
"Longview, TX",286657,9,1128,35,1,0.0141843971631206,-1  0  3  2  0  0  0  4  0  7  4  6  7
"Mankato, MN",101927,2,289,18,0,0.013840830449827,1  0  0  1  1  0  1  1  0  0  1  0  5
"Great Falls, MT",81366,3,436,11,0,0.0137614678899083,0  0  0  2  1  1  0  0  2  0  2  0  0
"Gadsden, AL",102268,4,739,26,3,0.013531799729364,0  0  0  4  0  2  0  0  2  2  3  6  7
"Visalia, CA",466195,7,2086,81,3,0.0134228187919463,4   1   0   1   2   4   5   6   8   2  29   7   0
"Hanford-Corcoran, CA",152940,4,300,5,0,0.0133333333333333,0  0  0  0  0  2  0  0  1  1  1  0  0
"Abilene, TX",172060,9,1051,27,1,0.0133206470028544,0  0  0  1  1  1  6  2  3  0  4  5  4
"Joplin, MO",179564,7,829,17,0,0.0132689987937274,0  0  2  2  0  3  2  0  2  0  1  2  2
"Rockford, IL",336116,5,984,36,1,0.0132113821138211,1  0  2  0  1  1  3  1  2  3  6  4  8
"Pueblo, CO",168424,4,1369,31,2,0.0131482834185537,0   0   0   0   0   3   4   0  11   0   1   4   5
"Carson City, NV",55916,3,229,10,0,0.0131004366812227,1 -1  0  0  0  3  0  0  0  0  0  0  5
"Corpus Christi, TX",429024,15,2299,51,0,0.0130491518051327,0   5   5   5   4   3   1   0  12   0   6   2   7
"San Angelo, TX",122027,4,614,20,0,0.0130293159609121,0  1  2 -1  0  1  2  1  3  0  1  7  3
"Duluth, MN-WI",288732,12,1236,28,0,0.0129449838187702,2  2  1  2  1  1  5  2  1  3  1  2  3
"St. Joseph, MO-KS",125223,3,470,10,0,0.0127659574468085,0  1  0  0  2  1  0  0  2  1  0  3  0
"Jacksonville, NC",197938,3,316,16,1,0.0126582278481013,0  0  1  0  0  0  0  0  3  0  1  2  6
"Brownsville-Harlingen, TX",423163,11,1596,62,0,0.012531328320802,0   0   1   3   3   0   7   0   6   0  11  18   7
"Johnson City, TN",203649,10,1284,26,2,0.0124610591900312,4  1  0  2  2  5  0  0  0  7 -1  2  2
"Jackson, TN",178644,6,967,33,0,0.0124095139607032,0  2  1  1  1  0  1  0  6  2  6  7  4
"Panama City, FL",174705,5,752,23,1,0.011968085106383,0  0  0  2  0  2  1  0  2  2  5  3  5
"New Bern, NC",124284,2,427,17,0,0.0117096018735363,0  1  0  0  1  0  1  1  1  1  4  4  1
"Springfield, IL",206868,4,1045,26,2,0.0114832535885167,0  1  0  0  2  1  2  3  2  2  2  2  5
"Jonesboro, AR",133860,6,785,21,0,0.0114649681528662,5  0  0  0  0  0  2  0  4  3  1  2  2
"Manhattan, KS",130285,7,532,13,0,0.0112781954887218,0  0  0  1  1  0  0  0  1  3  1  5  0
"Odessa, TX",166223,5,1016,22,0,0.0108267716535433,0   0   0   0   0   1   2   4   3   1   1  10   0
"Lake Havasu City-Kingman, AZ",212181,5,665,12,0,0.0105263157894737,0  0  0  2  2  1  1  1  0  0  1  1  3
"Bangor, ME",152148,6,773,22,0,0.0103492884864166,1  1  0  1  1  4  1  1  0  0  4  4  2
"Chico, CA",219186,7,592,11,0,0.0101351351351351,1  0  2  1  0  0  0  0  3  0  1  1  1
"Roanoke, VA",313222,6,1875,40,0,0.0101333333333333,0  0  1  0  1  0  7  7  1  2  7  3  9
"Sherman-Denison, TX",136212,8,602,12,0,0.00996677740863787,2  0  0  0  0  0  1  4  0  1  3  1  0
"Texarkana, TX-AR",148761,8,928,25,1,0.00969827586206897,0  0  0  0  1  1  0  1  5  1  6  2  7
"Parkersburg-Vienna, WV",89339,2,313,8,0,0.00958466453674121,0  0  1  0  1  0  0  1  0  0  1  2  2
"Goldsboro, NC",123131,1,316,12,0,0.00949367088607595,0  1  1  0  0  0  0  1  1  0  2  4  1
"Ames, IA",123351,5,321,7,0,0.00934579439252336,0  1  0  0  0  1  0  0  0  2  1  1  0
"Elizabethtown-Fort Knox, KY",153928,4,542,14,0,0.00922509225092251,1  0  0  0  0  0  4  0  1  0  0  0  7
"Enid, OK",61056,3,436,5,0,0.00917431192660551,0  0  0  0  0  0  2  0  0  2  0  1  0
"Springfield, OH",134083,5,448,7,0,0.00892857142857143,0  1  0  0  0  0  5 -1  0  0  1  0  0
"Pocatello, ID",95489,3,229,5,0,0.00873362445414847,2  0  0  1 -1  1  0  0  1  0  0  0  1
"Peoria, IL",400561,8,1383,28,0,0.00867678958785249,0  1  2  0  4  2  3 -1  0  2  2  3  5
"Idaho Falls, ID",151530,3,346,8,0,0.00867052023121387,0  2  0  0  0  1  0  1  0  1  0  1  2
"Tallahassee, FL",387227,7,2461,52,0,0.00853311661926046,1  2  0  1  5  2  2  4  5  2  9  6  7
"Las Cruces, NM",218195,6,603,22,0,0.00829187396351575,8  3  0  0  3  1  0  0  1  0  3  2 -1
"Wausau-Weston, WI",163285,5,483,9,0,0.0082815734989648,0  0  0  0  0  0  0  1  1  2  3  1  0
"Erie, PA",269728,9,1223,19,0,0.00817661488143908,1  2  0  0  2  0  0  6  1  1  2  0  2
"Dothan, AL",149358,6,865,16,1,0.00809248554913295,1  0  1  1  0  1  2  3  0 -1  1  5  2
"Mansfield, OH",121154,4,508,14,0,0.0078740157480315,0  3  0  0  0  1  0  0  1  2  0  0  6
"Decatur, IL",104009,2,265,5,0,0.00754716981132075,0  0  0  0  0  1  1  0  0  0  0  0  3
"Staunton, VA",123120,3,409,10,0,0.00733496332518337,0  0  0  0  0  0  0  0  2  1  2  2  3
"Napa, CA",137744,3,1780,20,2,0.00730337078651685,1  0  0  4  0  3  1  4  0  1  3  0  2
"Rapid City, SD",142107,8,688,7,1,0.00726744186046512,0  0  1  0  2  0  1  1  0  0  1  0  0
"Lima, OH",102351,5,830,15,0,0.0072289156626506,0  0  0  0  0  2  2  0  1  1  4  2  3
"Fort Smith, AR-OK",250368,10,1256,13,1,0.0071656050955414,1  0  1  1  0  1  0  3  2  1  2  0  0
"Green Bay, WI",322906,10,1313,25,0,0.00685453160700685,0  0  0  1  1  1  0  1  3  2  6  7  0
"Grand Forks, ND-MN",100815,7,733,11,0,0.00682128240109141,0  0  0  0  0  0  0  2  0  3  0  1  5
"Altoona, PA",121829,5,598,5,0,0.00668896321070234,0  0  0  1  0  1  1  3 -2  0  0  0  1
"Redding, CA",180080,7,763,12,2,0.00655307994757536,1  0  1  0  0  0  1  0  2  1  0  4  1
"Carbondale-Marion, IL",135764,5,615,13,1,0.00650406504065041,0 -1  0  0  1  1  1  0  1  0  2  3  3
"Sierra Vista-Douglas, AZ",125922,8,498,7,0,0.00602409638554217,0  0  0  1  0  1  0  1  0  0  0  1  2
"Huntington-Ashland, WV-KY-OH",355873,11,1851,32,1,0.00540248514316586,0   0   1   1   0   1   0   2   4   1   3   3  15
"Waterloo-Cedar Falls, IA",168522,6,589,13,0,0.00509337860780985,0  1  0  1  2 -1  0  0  1  0  2  0  4
"Lincoln, NE",336374,9,1378,18,0,0.00507982583454282,0  0  1  0  0  1  0  4  0  1  3  2  4
"Beckley, WV",115767,5,644,4,0,0.0046583850931677,0  0  0  1  1  1  0  0  0  0  0  0  1
"Blacksburg-Christiansburg, VA",167531,5,465,8,0,0.0043010752688172,0  0  1  0  1  0  0  0  0  0  0  1  5
"Johnstown, PA",130192,4,594,6,0,0.00336700336700337,1  0  0  0  0  0  0  1  0  1  1  0  2
"Sioux City, IA-NE-SD",144701,4,945,11,0,0.00317460317460317,1  0  0  0  2  0  1  0  0  0  5  1  0
"Cumberland, MD-WV",97284,3,476,5,0,0,0  0  0  0  0  0  0  0  0  0  1  3  1
"Danville, IL",75758,3,447,5,0,0,0  0  0  0  0  0  0  0  0  0  2  0  3
"St. Cloud, MN",201964,5,588,7,0,0,1  0  0  0  0  0  0  0  0  0  0  0  1