Country,State,state_clean,ignore
US,"Tempe, AZ",Arizona,
US,"Pinal County, AZ",Arizona,
US,"Maricopa County, AZ",Arizona,
US,"Washington, D.C.",DC,
US,"Orange, CA",California,
US,"Travis, CA",California,
US,"Berkeley, CA",California,
US,"San Mateo, CA",California,
US,"San Benito, CA",California,
US,"Los Angeles, CA",California,
US,"Santa Clara, CA",California,
US,"Yolo County, CA",California,
US,"Fresno County, CA",California,
US,"Madera County, CA",California,
US,"Orange County, CA",California,
US,"Placer County, CA",California,
US,"Shasta County, CA",California,
US,"Sonoma County, CA",California,
US,"Alameda County, CA",California,
US,"Humboldt County, CA",California,
US,"Riverside County, CA",California,
US,"San Diego County, CA",California,
US,"Sacramento County, CA",California,
US,"Santa Cruz County, CA",California,
US,"Santa Clara County, CA",California,
US,"Contra Costa County, CA",California,
US,"San Francisco County, CA",California,
US,"Denver County, CO",Colorado,
US,"Summit County, CO",Colorado,
US,"Douglas County, CO",Colorado,
US,"El Paso County, CO",Colorado,
US,"Fairfield County, CT",Connecticut,
US,"Sarasota, FL",Florida,
US,"Lee County, FL",Florida,
US,"Hillsborough, FL",Florida,
US,"Broward County, FL",Florida,
US,"Manatee County, FL",Florida,
US,"Volusia County, FL",Florida,
US,"Okaloosa County, FL",Florida,
US,"Charlotte County, FL",Florida,
US,"Santa Rosa County, FL",Florida,
US,"Cobb County, GA",Georgia,
US,"Polk County, GA",Georgia,
US,"Floyd County, GA",Georgia,
US,"Fulton County, GA",Georgia,
US,"Cherokee County, GA",Georgia,
US,"Honolulu County, HI",Hawaii,
US,"Johnson County, IA",Iowa,
US,"Chicago, IL",Illinois,
US,"Cook County, IL",Illinois,
US,"Marion County, IN",Indiana,
US,"Hendricks County, IN",Indiana,
US,"Johnson County, KS",Kansas,
US,"Fayette County, KY",Kentucky,
US,"Harrison County, KY",Kentucky,
US,"Jefferson County, KY",Kentucky,
US,"Jefferson Parish, LA",Louisiana,
US,"Boston, MA",Massachusetts,
US,"Norfolk County, MA",Massachusetts,
US,"Norwell County, MA",Massachusetts,
US,"Suffolk County, MA",Massachusetts,
US,"Plymouth County, MA",Massachusetts,
US,"Berkshire County, MA",Massachusetts,
US,"Middlesex County, MA",Massachusetts,
US,"Unknown Location, MA",Massachusetts,
US,"Harford County, MD",Maryland,
US,"Montgomery County, MD",Maryland,
US,"Carver County, MN",Minnesota,
US,"Ramsey County, MN",Minnesota,
US,"St. Louis County, MO",Missouri,
US,"Wake County, NC",North Carolina,
US,"Chatham County, NC",North Carolina,
US,"Ashland, NE",Nebraska,
US,"Douglas County, NE",Nebraska,
US,"Grafton County, NH",New Hampshire,
US,"Rockingham County, NH",New Hampshire,
US,"Bergen County, NJ",New Jersey,
US,"Hudson County, NJ",New Jersey,
US,"Clark County, NV",Nevada,
US,"Washoe County, NV",Nevada,
US,"Nassau County, NY",New York,
US,"New York City, NY",New York,
US,"Queens County, NY",New York,
US,"Ulster County, NY",New York,
US,"Suffolk County, NY",New York,
US,"New York County, NY",New York,
US,"Rockland County, NY",New York,
US,"Saratoga County, NY",New York,
US,"Westchester County, NY",New York,
US,"Tulsa County, OK",Oklahoma,
Canada,"London, ON",Ontario,
Canada,"Toronto, ON",Ontario,
US,"Portland, OR",Oregon,
US,"Umatilla, OR",Oregon,
US,"Marion County, OR",Oregon,
US,"Douglas County, OR",Oregon,
US,"Jackson County, OR",Oregon,
US,"Klamath County, OR",Oregon,
US,"Washington County, OR",Oregon,
US,"Wayne County, PA",Pennsylvania,
US,"Delaware County, PA",Pennsylvania,
US,"Montgomery County, PA",Pennsylvania,
Canada,"Montreal, QC",Quebec,
US,"Providence, RI",Rhode Island,
US,"Providence County, RI",Rhode Island,
US,"Virgin Islands, U.S.",US Virgin Islands,
US,"Omaha, NE (From Diamond Princess)",,1
US,"Travis, CA (From Diamond Princess)",,1
US,"Lackland, TX (From Diamond Princess)",,1
US,"Kershaw County, SC",South Carolina,
US,"Charleston County, SC",South Carolina,
US,"Spartanburg County, SC",South Carolina,
Canada,"Calgary, Alberta",Alberta,
Canada,"Edmonton, Alberta",Alberta,
US,"Shelby County, TN",Tennessee,
US,"Davidson County, TN",Tennessee,
US,"Williamson County, TN",Tennessee,
US,"Lackland, TX",Texas,
US,"San Antonio, TX",Texas,
US,"Collin County, TX",Texas,
US,"Harris County, TX",Texas,
US,"Fort Bend County, TX",Texas,
US,"Montgomery County, TX",Texas,
US,"Davis County, UT",Utah,
US,"Fairfax County, VA",Virginia,
US,"Bennington County, VT",Vermont,
US,"Unassigned Location, VT",Vermont,
US,"Seattle, WA",Washington,
US,"King County, WA",Washington,
US,"Clark County, WA",Washington,
US,"Grant County, WA",Washington,
US,"Pierce County, WA",Washington,
US,"Spokane County, WA",Washington,
US,"Kittitas County, WA",Washington,
US,"Jefferson County, WA",Washington,
US,"Snohomish County, WA",Washington,
US,"Unassigned Location, WA",Washington,
US,"Madison, WI",Wisconsin,
US,Utah,,
China,Qinghai,,
China,Shanghai,,
US,Guam,,
Canada,Saskatchewan,,
China,Fujian,,
China,Hainan,,
China,Henan,,
China,Hunan,,
China,Sichuan,,
China,Yunnan,,
Taiwan,Taiwan,,
UK,Isle of Man,,
US,Michigan,,
Netherlands,Curacao,,
UK,Gibraltar,,
US,Arkansas,,
US,Kansas,,
US,Texas,,
UK,Montserrat,,
China,Macau,,
Canada,Manitoba,,
Netherlands,Aruba,,
France,France,,
Canada,New Brunswick,,
US,New Mexico,,
US,Puerto Rico,,
UK,Bermuda,,
US,Florida,,
US,Nevada,,
US,Colorado,,
Denmark,Faroe Islands,,
Netherlands,Netherlands,,
UK,Cayman Islands,,
UK,Channel Islands,,
US,Northern Mariana Islands,,
US,United States Virgin Islands,US Virgin Islands,
US,Virgin Islands,,
Canada,Quebec,,
US,Tennessee,,
US,Wuhan Evacuee,,1
China,Hebei,,
China,Hubei,,
Netherlands,Sint Maarten,,
Australia,New South Wales,,
Canada,Northwest Territories,,
China,Tibet,,
US,New Jersey,,
US,Chicago,,
US,Idaho,,
Australia,South Australia,,
Australia,Tasmania,,
Australia,Victoria,,
Australia,Western Australia,,
Canada,British Columbia,,
Canada,Nova Scotia,,
China,Inner Mongolia,,
China,Ningxia,,
France,French Polynesia,,
France,New Caledonia,,
Germany,Bavaria,,
US,California,,
US,District of Columbia,DC,
US,Georgia,,
US,Pennsylvania,,
US,Virginia,,
US,West Virginia,,
US,Hawaii,,
China,Jilin,,
China,Tianjin,,
France,St Martin,,
US,Wisconsin,,
Canada,Ontario,,
US,Ohio,,
US,Grand Princess Cruise Ship,,1
US,Illinois,,
US,Alaska,,
US,Nebraska,,
US,Kentucky,,
Afghanistan,NULL,,
Albania,NULL,,
Algeria,NULL,,
Andorra,NULL,,
Angola,NULL,,
Antigua and Barbuda,NULL,,
Argentina,NULL,,
Armenia,NULL,,
Aruba,NULL,,
Australia,NULL,,
Austria,NULL,,
Azerbaijan,NULL,,
Bahamas,NULL,,
Bahrain,NULL,,
Bangladesh,NULL,,
Barbados,NULL,,
Belarus,NULL,,
Belgium,NULL,,
Belize,NULL,,
Benin,NULL,,
Bhutan,NULL,,
Bolivia,NULL,,
Bosnia,NULL,,
Brazil,NULL,,
Brunei,NULL,,
Bulgaria,NULL,,
Burkina Faso,NULL,,
Cambodia,NULL,,
Cameroon,NULL,,
Cape Verde,NULL,,
Cayman Islands,NULL,,
Central African Republic,NULL,,
Chad,NULL,,
Channel Islands,NULL,,
Chile,NULL,,
Colombia,NULL,,
Congo Rep.,NULL,,
Costa Rica,NULL,,
Croatia,NULL,,
Cuba,NULL,,
Curacao,NULL,,
Cyprus,NULL,,
Czech Republic,NULL,,
Denmark,NULL,,
Djibouti,NULL,,
Dominica,NULL,,
Dominican Republic,NULL,,
DR Congo,NULL,,
East Timor,NULL,,
Ecuador,NULL,,
Egypt,NULL,,
El Salvador,NULL,,
Equatorial Guinea,NULL,,
Eritrea,NULL,,
Estonia,NULL,,
Ethiopia,NULL,,
Faroe Islands,NULL,,
Fiji,NULL,,
Finland,NULL,,
France,NULL,,
French Guiana,NULL,,
Gabon,NULL,,
Gambia,NULL,,
Georgia,NULL,,
Germany,NULL,,
Ghana,NULL,,
Gibraltar,NULL,,
Greece,NULL,,
Greenland,NULL,,
Grenada,NULL,,
Guadeloupe,NULL,,
Guam,NULL,,
Guatemala,NULL,,
Guernsey,NULL,,
Guinea,NULL,,
Guyana,NULL,,
Haiti,NULL,,
Honduras,NULL,,
Hungary,NULL,,
Iceland,NULL,,
India,NULL,,
Indonesia,NULL,,
Iran,NULL,,
Iraq,NULL,,
Ireland,NULL,,
Israel,NULL,,
Italy,NULL,,
Ivory Coast,NULL,,
Jamaica,NULL,,
Japan,NULL,,
Jersey,NULL,,
Jordan,NULL,,
Kazakhstan,NULL,,
Kenya,NULL,,
Kosovo,NULL,,
Kuwait,NULL,,
Kyrgyzstan,NULL,,
Latvia,NULL,,
Lebanon,NULL,,
Liberia,NULL,,
Liechtenstein,NULL,,
Lithuania,NULL,,
Luxembourg,NULL,,
Madagascar,NULL,,
Malaysia,NULL,,
Maldives,NULL,,
Malta,NULL,,
Martinique,NULL,,
Mauritania,NULL,,
Mauritius,NULL,,
Mayotte,NULL,,
Mexico,NULL,,
Moldova,NULL,,
Monaco,NULL,,
Mongolia,NULL,,
Montenegro,NULL,,
Morocco,NULL,,
Mozambique,NULL,,
Namibia,NULL,,
Nepal,NULL,,
Netherlands,NULL,,
New Zealand,NULL,,
Nicaragua,NULL,,
Niger,NULL,,
Nigeria,NULL,,
North Ireland,NULL,,
North Macedonia,NULL,,
Norway,NULL,,
Oman,NULL,,
Pakistan,NULL,,
Palestine,NULL,,
Panama,NULL,,
Papua New Guinea,NULL,,
Paraguay,NULL,,
Peru,NULL,,
Philippines,NULL,,
Poland,NULL,,
Portugal,NULL,,
Puerto Rico,NULL,,
Qatar,NULL,,
Reunion,NULL,,
Romania,NULL,,
Russia,NULL,,
Rwanda,NULL,,
San Marino,NULL,,
Saudi Arabia,NULL,,
Senegal,NULL,,
Serbia,NULL,,
Seychelles,NULL,,
Singapore,NULL,,
Slovakia,NULL,,
Slovenia,NULL,,
Somalia,NULL,,
South Africa,NULL,,
South Korea,NULL,,
Spain,NULL,,
Sri Lanka,NULL,,
St. Barthelemy,NULL,,
St. Lucia,NULL,,
St. Martin,NULL,,
St. Vincent,NULL,,
Sudan,NULL,,
Suriname,NULL,,
Swaziland,NULL,,
Sweden,NULL,,
Switzerland,NULL,,
Syria,NULL,,
Taiwan,NULL,,
Tanzania,NULL,,
Thailand,NULL,,
Togo,NULL,,
Trinidad and Tobago,NULL,,
Tunisia,NULL,,
Turkey,NULL,,
UAE,NULL,,
Uganda,NULL,,
UK,NULL,,
Ukraine,NULL,,
Uruguay,NULL,,
Uzbekistan,NULL,,
Vatican,NULL,,
Venezuela,NULL,,
Vietnam,NULL,,
Zambia,NULL,,
Zimbabwe,NULL,,
US,Alabama,,
US,Oklahoma,,
France,Saint Barthelemy,,
France,Fench Guiana,,
France,French Guiana,,
US,Arizona,,
US,Indiana,,
US,Louisiana,,
US,Montana,,
US,North Carolina,,
US,South Carolina,,
Australia,Queensland,,
Canada,Prince Edward Island,,
Denmark,Greenland,,
US,Maryland,,
US,Rhode Island,,
Austria,None,NULL,
Iraq,None,NULL,
Lebanon,None,NULL,
US,Maine,,
China,Beijing,,
China,Chongqing,,
China,Guangdong,,
China,Heilongjiang,,
China,Hong Kong,,
China,Liaoning,,
China,Shandong,,
China,Xinjiang,,
China,Zhejiang,,
US,Wyoming,,
US,Vermont,,
US,American Samoa,,
UK,United Kingdom,UK,
France,Reunion,,
US,Oregon,,
US,Washington,,
Canada,Newfoundland and Labrador,,
China,Guizhou,,
France,Guadeloupe,,
US,Mississippi,,
US,Delaware,,
US,New Hampshire,,
US,Missouri,,
Denmark,Denmark,,
US,New York,,
Australia,Australian Capital Territory,,
Australia,Northern Territory,,
US,Unassigned Location (From Diamond Princess),,1
Australia,From Diamond Princess,,1
Canada,Diamond Princess,,1
Canada,Grand Princess,,1
Israel,From Diamond Princess,,1
US,Diamond Princess,,1
US,Grand Princess,,1
China,Gansu,,
China,Jiangsu,,
Canada,Alberta,,
US,Minnesota,,
US,North Dakota,,
US,South Dakota,,
France,Mayotte,,
US,Massachusetts,,
France,Martinique,,
China,Anhui,,
UK,UK,,
US,US,,
US,Connecticut,,
US,Iowa,,
China,Guangxi,,
China,Jiangxi,,
China,Shaanxi,,
China,Shanxi,,
US,Recovered,,1
Australia,External territories,,
Australia,Jervis Bay Territory,,
Canada,Recovered,,1
Canada,Yukon,,
Laos,NULL,,
Libya,NULL,,
Guinea-Bissau,NULL,,
Mali,NULL,,
Burma,NULL,,
St Kitts & Nevis,NULL,,
UK,Anguilla,,
UK,British Virgin Islands,,
UK,Turks and Caicos Islands,Turks & Caicos,